,date,BTCPrice,BTCnetworkhashrate,AverageBTCblocksize,NUAUBTC,NumberTXBTC,DifficultyBTC,TXfeesBTC,EstimatedTXVolumeUSDBTC,GoldinUSD,EthereumPrice,LitecoinPrice,BitcoinCashPrice,CardanoPrice,Nasdaqcompositeindex,DJI
1836,2013-04-28,135.3,74.5011506642,0.120677057141,107554,40986,8974296.015,32.57042361,22605050.0,1471.5,,4.3,,,3279.26001,14712.549805
1835,2013-04-29,134.44,80.7467561091,0.133634577799,73687,50009,8974296.015,35.83009291,41199388.0,1467.5,,4.37,,,3307.02002,14818.75
1834,2013-04-30,144.0,74.6333901792,0.176943650982,60887,48795,10076292.88,54.59361391,32294820.0,1469.0,,4.4,,,3328.790039,14839.799805
1833,2013-05-01,139.0,70.6262282904,0.159959745745,61672,50437,10076292.88,35.90344815,32988744.0,1454.75,,4.29,,,3299.129883,14700.950195
1832,2013-05-02,116.38,72.1289139987,0.181149747637,67744,57278,10076292.88,55.0843293,33019004.0,1469.25,,3.78,,,3340.620117,14831.580078
1831,2013-05-03,106.25,73.631599707,0.175324790332,70210,55859,10076292.88,49.20782248,34738967.0,1469.25,,3.39,,,3378.629883,14973.959961
1830,2013-05-04,98.1,77.1378663597,0.14923261048,56115,48349,10076292.88,42.74796187,19138832.0,1469.25,,3.03,,,3378.629883,14973.959961
1829,2013-05-05,112.9,77.1378663597,0.150220431291,55974,49419,10076292.88,38.14591919,22070654.0,1469.25,,3.49,,,3378.629883,14973.959961
1828,2013-05-06,115.98,81.6459234846,0.153041371539,64381,51244,10076292.88,50.99940307,32747255.0,1469.25,,3.59,,,3392.969971,14968.889648
1827,2013-05-07,112.25,88.1575615539,0.159965954044,89457,59215,10076292.88,45.04501941,48700263.0,1444.25,,3.37,,,3396.629883,15056.200195
1826,2013-05-08,109.6,81.6459234846,0.146846139358,95352,47359,10076292.88,49.35342081,37158553.0,1468.0,,3.28,,,3413.27002,15105.120117
1825,2013-05-09,113.2,83.1486091929,0.177025145795,70728,66370,10076292.88,68.44017033,18432038.0,1465.5,,3.4,,,3409.169922,15082.620117
1824,2013-05-10,112.8,83.649504429,0.187101461216,72244,67937,10076292.88,60.18777245,23437933.0,1426.5,,3.41,,,3436.580078,15118.490234
1823,2013-05-11,117.7,87.6566663178,0.183977121626,67240,70410,10076292.88,63.69813949,24070739.0,1426.5,,3.46,,,3436.580078,15118.490234
1822,2013-05-12,115.64,89.1593520261,0.17285727383,61435,69320,10076292.88,59.03344042,24398195.0,1426.5,,3.36,,,3436.580078,15118.490234
1821,2013-05-13,114.82,100.101885268,0.156985081567,65440,62190,11187257.46,60.08625448,30970356.0,1430.75,,3.26,,,3438.790039,15091.679688
1820,2013-05-14,117.98,81.7498729686,0.191748002759,68323,63287,11187257.46,54.66430818,23674574.0,1433.75,,3.28,,,3462.610107,15215.25
1819,2013-05-15,111.4,81.7498729686,0.202390865404,70212,66411,11187257.46,49.64959569,33062756.0,1410.0,,2.82,,,3471.620117,15275.69043
1818,2013-05-16,114.22,80.6376297989,0.199357138009,67246,60543,11187257.46,57.87351884,24772186.0,1381.0,,2.93,,,3465.23999,15233.219727
1817,2013-05-17,118.21,89.5355751561,0.172505307642,64560,60896,11187257.46,88.4985171,22302152.0,1368.75,,2.89,,,3498.969971,15354.400391
1816,2013-05-18,123.5,81.7498729686,0.158997717358,55716,51982,11187257.46,39.44980994,26655270.0,1368.75,,3.2,,,3498.969971,15354.400391
1815,2013-05-19,123.21,85.6427240623,0.137607493958,51111,47090,11187257.46,42.20084266,13956766.0,1368.75,,3.3,,,3498.969971,15354.400391
1814,2013-05-20,122.5,76.7447787052,0.158913011136,56966,50093,11187257.46,49.07464086,14724464.0,1354.75,,3.31,,,3496.429932,15335.280273
1813,2013-05-21,122.02,82.8621161382,0.1712911209,63976,54664,11187257.46,42.99289632,18248895.0,1360.75,,3.19,,,3502.120117,15387.580078
1812,2013-05-22,122.89,92.3161830802,0.150650621897,65369,53981,11187257.46,55.07809707,16951340.0,1408.5,,3.09,,,3463.300049,15307.169922
1811,2013-05-23,123.8,89.5355751561,0.155341089142,65171,54824,11187257.46,53.41115964,17289205.0,1380.5,,3.12,,,3459.419922,15294.5
1810,2013-05-24,126.3,90.0916967409,0.154722001817,67558,55106,11187257.46,41.98819177,18356960.0,1390.25,,3.17,,,3459.139893,15303.099609
1809,2013-05-25,133.1,103.913692158,0.148436069489,60147,55836,12153411.71,55.98522589,32328129.0,1390.25,,3.19,,,3459.139893,15303.099609
1808,2013-05-26,131.99,97.2680490551,0.126502516847,52307,39879,12153411.71,30.67004412,9320100.0,1390.25,,3.12,,,3459.139893,15303.099609
1807,2013-05-27,133.5,103.913692158,0.142933867698,59395,52377,12153411.71,47.80327835,12042798.0,1390.25,,3.23,,,3459.139893,15303.099609
1806,2013-05-28,129.77,97.8721984281,0.152959976667,56871,55138,12153411.71,54.56592486,21874484.0,1376.5,,3.1,,,3488.889893,15409.389648
1805,2013-05-29,129.0,101.497094666,0.150170224054,66689,54919,12153411.71,51.94317506,19647318.0,1382.5,,3.09,,,3467.52002,15302.799805
1804,2013-05-30,132.25,102.101244039,0.157768678383,63212,57170,12153411.71,46.71194711,19997470.0,1413.5,,3.08,,,3491.300049,15324.530273
1803,2013-05-31,128.8,112.37178338,0.141768301687,62386,57616,12153411.71,48.95769767,21623328.0,1394.5,,2.97,,,3455.909912,15115.570313
1802,2013-06-01,128.82,119.621575857,0.122364164603,59033,52390,12153411.71,39.3619438,12395215.0,1394.5,,2.94,,,3455.909912,15115.570313
1801,2013-06-02,129.3,123.246472095,0.116701612286,50677,51011,12153411.71,44.65643906,13732191.0,1394.5,,2.83,,,3455.909912,15115.570313
1800,2013-06-03,122.5,126.26721896,0.116384501663,58321,52048,12153411.71,49.50440017,21628574.0,1402.5,,2.73,,,3465.370117,15254.030273
1799,2013-06-04,120.74,126.871368333,0.127920418694,63518,60118,12153411.71,64.89014237,26471992.0,1399.5,,2.7,,,3445.26001,15177.540039
1798,2013-06-05,121.4,156.703562082,0.127096289455,67477,54947,15605632.68,60.62469501,20651670.0,1404.0,,2.87,,,3401.47998,14960.589844
1797,2013-06-06,121.9,138.085317082,0.142015408934,60098,55918,15605632.68,43.37307063,19417968.0,1400.0,,2.88,,,3424.050049,15040.620117
1796,2013-06-07,118.97,124.897393541,0.154354865507,60504,54331,15605632.68,40.4846895,26030025.0,1386.0,,2.78,,,3469.219971,15248.120117
1795,2013-06-08,111.0,130.327714999,0.12644918192,51054,47973,15605632.68,45.68561726,14984807.0,1386.0,,2.6,,,3469.219971,15248.120117
1794,2013-06-09,107.89,129.55195479100001,0.124418801176,45062,46237,15605632.68,36.50155661,22648459.0,1386.0,,2.55,,,3469.219971,15248.120117
1793,2013-06-10,100.44,139.636837499,0.103996112612,48672,42406,15605632.68,34.19488951,16832721.0,1383.25,,2.38,,,3473.77002,15238.589844
1792,2013-06-11,106.35,136.533796666,0.124763217839,57169,51208,15605632.68,47.23966648,15612185.0,1374.25,,2.49,,,3436.949951,15122.019531
1791,2013-06-12,109.0,155.152041666,0.103890504837,52722,46417,15605632.68,43.47723521,18866105.0,1382.75,,2.41,,,3400.429932,14995.230469
1790,2013-06-13,108.78,149.721720207,0.0996600580957,53645,43302,15605632.68,38.93851606,14604166.0,1385.0,,2.4,,,3445.360107,15176.080078
1789,2013-06-14,103.95,133.430755832,0.124817715135,60855,48124,15605632.68,38.16991619,19223868.0,1391.25,,2.27,,,3423.560059,15070.179688
1788,2013-06-15,100.0,136.533796666,0.104579513723,52008,41531,15605632.68,37.25196643,14288283.0,1391.25,,2.14,,,3423.560059,15070.179688
1787,2013-06-16,99.8,145.067158957,0.0934666771302,37955,40076,15605632.68,29.0746919,10344457.0,1391.25,,2.09,,,3423.560059,15070.179688
1786,2013-06-17,99.9,148.049400446,0.121433710123,45693,43399,19339258.27,35.05299427,11990898.0,1384.75,,2.14,,,3452.129883,15179.849609
1785,2013-06-18,101.95,140.358522501,0.140300979353,48967,47025,19339258.27,36.99237474,15606642.0,1366.75,,2.28,,,3482.179932,15318.230469
1784,2013-06-19,107.05,120.169967895,0.163297370911,55778,46903,19339258.27,36.13715542,15008169.0,1372.75,,2.3,,,3443.199951,15112.19043
1783,2013-06-20,108.25,140.358522501,0.148688838906,54530,49440,19339258.27,62.60148592,16649067.0,1292.5,,2.3,,,3364.639893,14758.320313
1782,2013-06-21,111.29,166.315235566,0.14012800338,58295,52994,19339258.27,55.51629176,20329679.0,1295.25,,2.33,,,3357.25,14799.400391
1781,2013-06-22,109.5,165.353875823,0.111183754233,49708,42571,19339258.27,45.58428107,11644483.0,1295.25,,2.86,,,3357.25,14799.400391
1780,2013-06-23,108.2,169.199314796,0.099417144602,41462,40634,19339258.27,40.63780671,11109050.0,1295.25,,2.9,,,3357.25,14799.400391
1779,2013-06-24,107.9,137.474443272,0.126782844117,48326,40963,19339258.27,37.82404209,15989758.0,1286.75,,3.13,,,3320.76001,14659.55957
1778,2013-06-25,102.09,142.281241987,0.132571858329,50770,45588,19339258.27,36.22112769,15094760.0,1279.0,,2.85,,,3347.889893,14760.30957
1777,2013-06-26,103.33,181.696991457,0.103714584674,54518,45576,19339258.27,38.21914872,16456972.0,1236.25,,2.81,,,3376.219971,14910.139648
1776,2013-06-27,104.0,159.585717364,0.125443223011,51936,46797,19339258.27,33.13590698,14300350.0,1232.75,,2.88,,,3401.860107,15024.490234
1775,2013-06-28,101.74,161.50843685,0.126948651813,53524,48324,19339258.27,47.29444705,16447575.0,1192.0,,3.04,,,3403.25,14909.599609
1774,2013-06-29,94.66,170.754179026,0.110869348419,55499,38973,21335329.11,25.79585074,12964846.0,1192.0,,2.76,,,3403.25,14909.599609
1773,2013-06-30,95.0,173.935933914,0.0887400348012,41271,32994,21335329.11,19.88041027,10045786.0,1192.0,,2.79,,,3403.25,14909.599609
1772,2013-07-01,97.51,162.269499323,0.0984449261933,49206,34053,21335329.11,31.95531521,19434641.0,1242.75,,3.01,,,3434.48999,14974.959961
1771,2013-07-02,88.05,166.511839174,0.118212517659,56769,43264,21335329.11,37.0769864,23261977.0,1252.5,,2.95,,,3433.399902,14932.410156
1770,2013-07-03,90.4,185.602368506,0.0863032095773,53642,35351,21335329.11,29.49682754,21960742.0,1250.0,,2.85,,,3443.669922,14988.370117
1769,2013-07-04,78.89,180.299443692,0.0874781496385,53347,34560,21335329.11,21.101607,26002648.0,1251.75,,2.68,,,3443.669922,14988.370117
1768,2013-07-05,79.99,187.723538432,0.0887788513959,47699,36291,21335329.11,33.41026781,23177973.0,1212.75,,2.71,,,3479.379883,15135.839844
1767,2013-07-06,68.5,199.389973024,0.0847712577657,46957,36979,21335329.11,31.75035904,17414249.0,1212.75,,2.42,,,3479.379883,15135.839844
1766,2013-07-07,68.75,198.329388061,0.0720904804169,37506,28865,21335329.11,17.31315056,11978048.0,1212.75,,2.46,,,3479.379883,15135.839844
1765,2013-07-08,76.5,197.268803098,0.0880019639128,47647,36912,21335329.11,31.43815723,14716112.0,1235.25,,2.71,,,3484.830078,15224.69043
1764,2013-07-09,76.0,213.177577541,0.0916995670072,54846,41777,21335329.11,35.161138,24266100.0,1255.5,,2.58,,,3504.26001,15300.339844
1763,2013-07-10,76.72,181.360028655,0.100574604949,55835,39340,21335329.11,26.25884419,25504393.0,1256.0,,2.61,,,3520.76001,15291.660156
1762,2013-07-11,88.0,249.708212058,0.0945592770974,56988,41040,26162875.68,33.81696437,17778704.0,1285.0,,2.84,,,3578.300049,15460.919922
1761,2013-07-12,88.98,214.592994737,0.138466216579,69663,50045,26162875.68,32.05021445,32207761.0,1279.75,,2.72,,,3600.080078,15464.299805
1760,2013-07-13,93.99,196.385104275,0.123121293175,57072,40313,26162875.68,25.13594621,27547900.0,1279.75,,2.81,,,3600.080078,15464.299805
1759,2013-07-14,98.7,211.991867528,0.0952460809719,38740,34150,26162875.68,31.82965821,16176442.0,1279.75,,2.93,,,3600.080078,15464.299805
1758,2013-07-15,93.61,222.396376364,0.097696008738,46589,36738,26162875.68,23.34949228,14831969.0,1284.75,,2.87,,,3607.48999,15484.259766
1757,2013-07-16,98.89,213.292431133,0.103534861309,53761,38784,26162875.68,34.01475967,21760731.0,1291.5,,3.0,,,3598.5,15451.849609
1756,2013-07-17,96.71,219.795249155,0.101769492471,54355,39565,26162875.68,33.40695216,35799465.0,1297.25,,3.08,,,3610.0,15470.519531
1755,2013-07-18,98.5,223.696939968,0.105887601542,54308,41257,26162875.68,27.59409047,29876056.0,1283.25,,3.15,,,3611.280029,15548.540039
1754,2013-07-19,90.07,219.795249155,0.0957881995207,48100,38020,26162875.68,33.02637011,26606654.0,1295.75,,2.88,,,3587.610107,15543.740234
1753,2013-07-20,92.0,243.205394035,0.076951898993,44457,33626,26162875.68,21.48857703,12358753.0,1295.75,,2.96,,,3587.610107,15543.740234
1752,2013-07-21,89.82,253.609902871,0.0855443074153,43487,36884,26162875.68,26.49400011,11557290.0,1295.75,,2.87,,,3587.610107,15543.740234
1751,2013-07-22,92.0,279.682550204,0.0889993985494,46082,37257,31256960.73,21.9931243,20691538.0,1327.0,,2.95,,,3600.389893,15545.549805
1750,2013-07-23,91.6,225.299832109,0.121219437698,54206,39644,31256960.73,31.91271509,29454766.0,1333.5,,2.89,,,3579.27002,15567.740234
1749,2013-07-24,95.56,239.283959619,0.115515962824,54521,39963,31256960.73,32.92301081,22100556.0,1335.0,,2.99,,,3579.600098,15542.240234
1748,2013-07-25,94.5,212.869496544,0.138774816137,51978,42304,31256960.73,34.86795346,17564335.0,1326.0,,2.95,,,3605.189941,15555.610352
1747,2013-07-26,96.95,276.574966313,0.105780285396,55955,41428,31256960.73,22.80421394,19630098.0,1331.0,,2.98,,,3613.159912,15558.830078
1746,2013-07-27,96.02,256.375671021,0.0957575711337,42750,35987,31256960.73,30.69502419,13875296.0,1331.0,,2.9,,,3613.159912,15558.830078
1745,2013-07-28,94.4,275.021174368,0.0836667906767,37554,33111,31256960.73,19.93133624,10211744.0,1331.0,,2.88,,,3613.159912,15558.830078
1744,2013-07-29,98.6,257.929462966,0.120026513755,54397,44260,31256960.73,30.87144133,18173521.0,1329.75,,2.94,,,3599.139893,15521.969727
1743,2013-07-30,101.49,287.451509932,0.0937530517578,55581,39998,31256960.73,37.36421201,17436599.0,1324.15,,2.97,,,3616.469971,15520.589844
1742,2013-07-31,107.95,309.20459717,0.121260767606,69550,51919,31256960.73,45.52101435,27961402.0,1314.5,,3.0,,,3626.370117,15499.540039
1741,2013-08-01,106.21,287.451509932,0.110432702142,82370,45823,31256960.73,31.49185887,24802510.0,1315.0,,2.87,,,3675.73999,15628.019531
1740,2013-08-02,104.86,295.22046966,0.122306959253,84776,53174,31256960.73,41.01530553,17227543.0,1309.25,,2.94,,,3689.590088,15658.360352
1739,2013-08-03,104.5,332.726003145,0.117874475831,53305,49065,37392766.14,28.01755065,21849030.0,1309.25,,2.84,,,3689.590088,15658.360352
1738,2013-08-04,104.95,317.85556725,0.116464955068,46413,44605,37392766.14,32.74170112,9821585.0,1309.25,,3.01,,,3689.590088,15658.360352
1737,2013-08-05,105.12,356.890461474,0.107996582985,57924,47903,37392766.14,27.05473128,16579173.0,1304.75,,3.0,,,3692.949951,15612.129883
1736,2013-08-06,106.72,351.314048013,0.118079881819,61468,52260,37392766.14,40.53861293,17336173.0,1280.5,,2.84,,,3665.77002,15518.740234
1735,2013-08-07,106.75,327.149589684,0.136743269183,64048,57225,37392766.14,30.18051369,15577018.0,1282.5,,2.82,,,3654.01001,15470.669922
1734,2013-08-08,106.75,375.478506342,0.119592709116,61019,57036,37392766.14,49.6207779,15173289.0,1298.25,,2.75,,,3669.120117,15498.320313
1733,2013-08-09,103.07,386.631333263,0.107874237574,57904,53241,37392766.14,45.849913,14108629.0,1309.0,,2.71,,,3660.110107,15425.509766
1732,2013-08-10,102.8,369.902092882,0.113582457729,52564,52040,37392766.14,29.35579481,11394420.0,1309.0,,2.69,,,3660.110107,15425.509766
1731,2013-08-11,103.0,397.784160184,0.082055631085,43679,41059,37392766.14,33.93550069,12230280.0,1309.0,,2.55,,,3660.110107,15425.509766
1730,2013-08-12,105.0,425.666227487,0.103160966432,70581,45811,37392766.14,24.14323112,23274506.0,1341.0,,2.69,,,3669.949951,15419.679688
1729,2013-08-13,106.99,484.95276558,0.138530060649,75208,53484,50810339.05,29.55608972,27791508.0,1328.5,,2.66,,,3684.439941,15451.009766
1728,2013-08-14,109.56,388.972530726,0.145777894305,60659,50484,50810339.05,43.02378882,18877399.0,1326.5,,2.76,,,3669.27002,15337.660156
1727,2013-08-15,112.56,421.807874228,0.163725384695,66433,59029,50810339.05,64.02507935,18697134.0,1329.75,,2.74,,,3606.120117,15112.19043
1726,2013-08-16,110.0,434.436852499,0.165451787239,69457,68301,50810339.05,45.60521477,15799075.0,1369.25,,2.76,,,3602.780029,15081.469727
1725,2013-08-17,108.99,472.32378731,0.130394374623,58546,59253,50810339.05,29.42751688,10908216.0,1369.25,,2.72,,,3602.780029,15081.469727
1724,2013-08-18,112.75,497.58174385,0.114381136628,42791,53134,50810339.05,44.92668611,9855148.0,1369.25,,2.8,,,3602.780029,15081.469727
1723,2013-08-19,113.38,449.591626423,0.165978056661,65506,69938,50810339.05,37.81465044,18536956.0,1365.0,,2.8,,,3589.090088,15010.740234
1722,2013-08-20,119.0,457.169013385,0.160356326656,69460,66539,50810339.05,45.78527809,21774465.0,1372.5,,2.82,,,3613.590088,15002.990234
1721,2013-08-21,121.21,520.313904737,0.129443511222,70761,63416,50810339.05,34.14204628,21477614.0,1363.0,,2.77,,,3599.790039,14897.549805
1720,2013-08-22,123.3,525.365496045,0.123600813059,70737,62772,50810339.05,37.04061907,19417003.0,1375.5,,2.69,,,3638.709961,14963.740234
1719,2013-08-23,122.0,543.046065623,0.122729310324,68764,59969,50810339.05,35.02624015,18379588.0,1377.5,,2.78,,,3657.790039,15010.509766
1718,2013-08-24,118.51,607.932298581,0.124880518965,54649,51085,65750060.15,28.06437009,12358432.0,1377.5,,2.74,,,3657.790039,15010.509766
1717,2013-08-25,119.6,467.388810199,0.139371011641,48105,45094,65750060.15,30.74091178,12086159.0,1377.5,,2.68,,,3657.790039,15010.509766
1716,2013-08-26,122.11,532.757874563,0.147914552981,57471,53528,65750060.15,27.45229801,15758636.0,1377.5,,2.58,,,3657.570068,14946.459961
1715,2013-08-27,120.07,562.173953526,0.158273946407,71151,61016,65750060.15,51.94695338,22789346.0,1419.25,,2.57,,,3578.52002,14776.129883
1714,2013-08-28,126.48,545.831687435,0.163275433158,72494,63645,65750060.15,243.52033894,23599317.0,1419.5,,2.58,,,3593.350098,14824.509766
1713,2013-08-29,122.62,647.153737199,0.125775346852,67844,61525,65750060.15,44.63568124,26852781.0,1407.75,,2.54,,,3620.300049,14840.950195
1712,2013-08-30,122.35,634.079924326,0.136290977911,72629,60716,65750060.15,43.30645342,19897419.0,1394.75,,2.54,,,3589.870117,14810.30957
1711,2013-08-31,133.09,702.717441908,0.104151960861,82290,52533,65750060.15,32.35235089,21527351.0,1394.75,,2.66,,,3589.870117,14810.30957
1710,2013-09-01,135.14,725.596614435,0.0910910700893,49046,45578,65750060.15,25.28747187,19292550.0,1394.75,,2.59,,,3589.870117,14810.30957
1709,2013-09-02,138.63,768.086506271,0.090653232818,52118,50456,65750060.15,46.83183395,18119264.0,1392.25,,2.57,,,3589.870117,14810.30957
1708,2013-09-03,135.61,604.663845362,0.128158976581,54757,50503,65750060.15,30.91428847,21059813.0,1399.5,,2.55,,,3612.610107,14833.959961
1707,2013-09-04,136.53,751.934693043,0.124783965363,58274,51136,86933017.77,24.59734787,24707681.0,1390.0,,2.6,,,3649.040039,14930.870117
1706,2013-09-05,126.76,704.398591759,0.151025573169,63542,60222,86933017.77,34.00943099,25503578.0,1385.0,,2.82,,,3658.780029,14937.480469
1705,2013-09-06,126.49,821.078113093,0.139508558574,57620,63412,86933017.77,33.00862693,16094489.0,1387.0,,2.78,,,3660.01001,14922.5
1704,2013-09-07,118.89,704.398591759,0.140841279293,56635,54231,86933017.77,27.40258306,13811249.0,1387.0,,2.68,,,3660.01001,14922.5
1703,2013-09-08,124.13,643.898099215,0.129339211739,43712,46470,86933017.77,22.51021597,9575050.0,1387.0,,2.7,,,3660.01001,14922.5
1702,2013-09-09,121.86,834.042504353,0.120213735907,53474,54966,86933017.77,30.43641891,15359356.0,1390.0,,2.73,,,3706.179932,15063.120117
1701,2013-09-10,127.27,803.792258081,0.12247766987,55161,53551,86933017.77,28.07548626,18426068.0,1358.25,,2.73,,,3729.02002,15191.05957
1700,2013-09-11,125.89,868.614214378,0.104208153872,58672,49512,86933017.77,23.61451906,17480102.0,1363.75,,2.64,,,3725.01001,15326.599609
1699,2013-09-12,135.55,898.86446065,0.107846791928,65300,50982,86933017.77,24.96850657,19081844.0,1328.0,,2.75,,,3715.969971,15300.639648
1698,2013-09-13,132.83,907.507388156,0.100459121522,59829,48362,86933017.77,26.42562521,17487264.0,1318.5,,2.69,,,3722.179932,15376.05957
1697,2013-09-14,135.01,933.436170675,0.0932886379736,48712,47147,86933017.77,21.9094985,13379196.0,1318.5,,2.66,,,3722.179932,15376.05957
1696,2013-09-15,129.4,1024.57958056,0.114646192457,42924,46764,112628548.7,24.16845305,9903219.0,1318.5,,2.59,,,3722.179932,15376.05957
1695,2013-09-16,130.86,946.196443251,0.126248664405,52304,50391,112628548.7,29.82849822,15807935.0,1324.0,,2.65,,,3717.850098,15494.780273
1694,2013-09-17,131.59,990.986807429,0.166820580003,61057,66291,112628548.7,90.93785999,17593089.0,1312.25,,2.63,,,3745.699951,15529.730469
1693,2013-09-18,131.71,845.418123852,0.181919394739,65538,64383,112628548.7,303.03844849,20504733.0,1301.0,,2.6,,,3783.639893,15676.94043
1692,2013-09-19,131.37,1091.76512683,0.127231167524,66398,59004,112628548.7,111.427816,27283020.0,1365.5,,2.55,,,3789.379883,15636.549805
1691,2013-09-20,129.7,1080.56753578,0.128709778267,65306,58990,112628548.7,35.98775791,18543950.0,1349.25,,2.61,,,3774.72998,15451.089844
1690,2013-09-21,126.95,1046.97476265,0.12242565563,58758,53286,112628548.7,26.17798718,13680647.0,1349.25,,2.48,,,3774.72998,15451.089844
1689,2013-09-22,127.87,1153.35187757,0.108690122956,53993,52686,112628548.7,27.4817632,14591512.0,1349.25,,2.53,,,3774.72998,15451.089844
1688,2013-09-23,128.98,1237.33381041,0.116038529582,62037,60286,112628548.7,36.37139814,19845271.0,1323.0,,2.53,,,3765.290039,15401.379883
1687,2013-09-24,126.05,1125.35789996,0.135476956913,65845,63563,112628548.7,31.74116641,26370038.0,1314.25,,2.47,,,3768.25,15334.589844
1686,2013-09-25,127.38,1583.13830535,0.113200013883,66539,58150,148819199.8,30.8215087,22296216.0,1322.75,,2.47,,,3761.100098,15273.259766
1685,2013-09-26,128.21,1265.03107577,0.140398744951,63157,54262,148819199.8,28.01795022,19907594.0,1333.0,,2.37,,,3787.429932,15328.299805
1684,2013-09-27,128.94,1302.02028851,0.125307500362,66494,50429,148819199.8,82.75466408,20570062.0,1341.0,,2.4,,,3781.590088,15258.240234
1683,2013-09-28,133.77,1265.03107577,0.11765684719,60434,44660,148819199.8,27.84186309,17176512.0,1341.0,,2.39,,,3781.590088,15258.240234
1682,2013-09-29,134.9,1242.83754813,0.110355433964,54587,41741,148819199.8,19.75447388,18613584.0,1341.0,,2.27,,,3781.590088,15258.240234
1681,2013-09-30,137.15,1213.24617793,0.115464972287,61734,42073,148819199.8,26.00052268,17858428.0,1326.5,,2.3,,,3771.47998,15129.669922
1680,2013-10-01,132.68,1449.97713948,0.121152950793,69975,55320,148819199.8,36.02532288,28385075.0,1290.75,,2.34,,,3817.97998,15191.700195
1679,2013-10-02,132.05,1279.82676087,0.165003407208,77571,60542,148819199.8,35.39513493,30243868.0,1306.25,,2.42,,,3815.02002,15133.139648
1678,2013-10-03,114.45,1538.75125006,0.139478788926,72720,61708,148819199.8,40.37392697,39333168.0,1316.0,,1.98,,,3774.340088,14996.480469
1677,2013-10-04,123.41,1316.81597361,0.132432337557,64698,54796,148819199.8,33.53991469,18930821.0,1309.75,,2.18,,,3807.75,15072.580078
1676,2013-10-05,128.63,1560.94477771,0.100734335551,55710,47895,148819199.8,26.70745176,12004509.0,1309.75,,2.19,,,3807.75,15072.580078
1675,2013-10-06,128.36,1900.66283139,0.100938712016,48783,44751,189281249.3,21.98375278,11506441.0,1309.75,,2.13,,,3807.75,15072.580078
1674,2013-10-07,129.43,1439.61095645,0.130531641393,58652,43235,189281249.3,32.99949234,22147123.0,1323.5,,2.17,,,3770.379883,14936.240234
1673,2013-10-08,126.74,1467.83862226,0.127260581041,60475,42865,189281249.3,16.18054086,16450364.0,1329.5,,2.1,,,3694.830078,14776.530273
1672,2013-10-09,125.85,1721.88761458,0.115927836934,69133,46991,189281249.3,25.13904198,22600153.0,1304.0,,1.98,,,3677.780029,14802.980469
1671,2013-10-10,130.67,1834.79827783,0.133234385955,65216,57769,189281249.3,29.73024401,19987068.0,1298.5,,1.93,,,3760.75,15126.070313
1670,2013-10-11,130.75,1665.43228295,0.130256862964,67974,54449,189281249.3,28.46158064,20022201.0,1265.5,,2.03,,,3791.870117,15237.110352
1669,2013-10-12,130.9,1853.61672171,0.111741099866,58649,49674,189281249.3,32.21519984,16997986.0,1265.5,,2.07,,,3791.870117,15237.110352
1668,2013-10-13,135.19,2154.71182371,0.106077319149,57180,51248,189281249.3,31.15736732,13162986.0,1265.5,,2.12,,,3791.870117,15237.110352
1667,2013-10-14,139.27,2427.5792599,0.104910979899,74721,55763,189281249.3,24.76312632,23663367.0,1285.5,,2.15,,,3815.280029,15301.259766
1666,2013-10-15,140.77,2333.48704052,0.102441226282,70171,57320,189281249.3,46.86833704,25180562.0,1270.5,,2.06,,,3794.01001,15168.009766
1665,2013-10-16,145.65,2914.66937941,0.109832754963,74562,51947,267731249.5,36.84323895,29272418.0,1273.5,,1.97,,,3839.429932,15373.830078
1664,2013-10-17,142.41,2382.30967541,0.117371548487,68607,45193,267731249.5,39.50246713,25606096.0,1319.25,,1.92,,,3863.149902,15371.650391
1663,2013-10-18,146.37,2302.45571981,0.151048489389,69519,60446,267731249.5,45.53965756,23370691.0,1316.5,,1.92,,,3914.280029,15399.650391
1662,2013-10-19,155.91,2914.66937941,0.121236191493,75457,54639,267731249.5,35.8234771,32532840.0,1316.5,,1.91,,,3914.280029,15399.650391
1661,2013-10-20,171.66,2874.74240161,0.111199979429,64030,49864,267731249.5,27.8955071,20272986.0,1316.5,,1.87,,,3914.280029,15399.650391
1660,2013-10-21,174.8,2675.10751261,0.134416305011,73341,58142,267731249.5,36.82997401,30979595.0,1317.5,,1.93,,,3920.050049,15392.200195
1659,2013-10-22,182.65,3313.93915741,0.127491184985,89356,64906,267731249.5,41.67292026,65660979.0,1333.0,,1.82,,,3929.570068,15467.660156
1658,2013-10-23,193.36,2808.19743861,0.127253075912,87179,54572,267731249.5,36.67520171,48435641.0,1331.25,,1.7,,,3907.070068,15413.330078
1657,2013-10-24,214.3,2781.57945341,0.156337947937,88605,63265,267731249.5,49.26787775,49099293.0,1344.75,,2.06,,,3928.959961,15509.209961
1656,2013-10-25,197.69,3194.15822401,0.123490607738,82770,59853,267731249.5,46.75449972,59153404.0,1347.75,,2.29,,,3943.360107,15570.280273
1655,2013-10-26,187.45,3867.20191246,0.120308626836,67249,49353,390928787.6,53.66366945,36443698.0,1347.75,,2.16,,,3943.360107,15570.280273
1654,2013-10-27,176.6,3439.67205279,0.11322228922,54418,44388,390928787.6,44.03445576,20364921.0,1347.75,,2.2,,,3943.360107,15570.280273
